???q?N??,???q?W??,"???~???J","???~????","???~???Q?]???l?^","?????{?P?f?]?l?^?q","?w???{?P?f?]?l?^?q","???~???Q?]???l?^?b?B","???~?O??","???L???q?ζO?l?b?B","???~?Q?q?]?l???^","???~?~???J?Τ??X","?|?e?b?Q?]?b?l?^","?ұo?|?O?Ρ]?Q?q?^","?~?????~???쥻?��b?Q?]?b?l?^","???~?????l?q","?X?֫e?D?ݦ@?P???????v?l?q","???��b?Q?]?b?l?^","???L???X?l?q?]?b?B?^","?X?֫e?D?ݦ@?P???????v???X?l?q?b?B","???��??X?l?q?`?B","?b?Q?]?b?l?^?k?ݩ??��??q?~?D","?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q","?b?Q?]?b?l?^?k?ݩ??D?????v?q","???X?l?q?`?B?k?ݩ??��??q?~?D","???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q","???X?l?q?`?B?k?ݩ??D?????v?q","?򥻨C?Ѭվl?]???^",
"2489","???a",13196675.00,12010751.00,1185924.00,--,--,1185924.00,1090502.00,--,95422.00,529263.00,624685.00,99035.00,525650.00,--,--,525650.00,268859.00,--,794509.00,522693.00,--,2957.00,791624.00,--,2885.00,0.65,
"2491","?N????",509268.00,491127.00,18141.00,--,--,18141.00,236399.00,--,-218258.00,-113479.00,-331737.00,159.00,-331896.00,--,--,-331896.00,-20.00,--,-331916.00,-174767.00,--,-157129.00,-174767.00,--,-157149.00,-2.77,
"2492","?طs??",6289081.00,5773502.00,515579.00,--,--,515579.00,828980.00,--,-313401.00,-22188.00,-335589.00,18068.00,-353657.00,--,--,-353657.00,732081.00,--,378424.00,-358130.00,--,4473.00,354532.00,--,23892.00,-0.52,
"2493","???լ???",1146240.00,842269.00,303971.00,--,--,303971.00,143677.00,--,160294.00,33601.00,193895.00,32537.00,161358.00,--,--,161358.00,-34406.00,--,126952.00,--,--,--,--,--,--,1.41,
"2495","???w",829310.00,471242.00,358068.00,--,--,358068.00,379715.00,--,-21647.00,54947.00,33300.00,13743.00,19557.00,--,--,19557.00,-4206.00,--,15351.00,19557.00,--,0.00,15351.00,--,0.00,0.07,
"2496","???V???\",83656.00,59489.00,24167.00,--,--,24167.00,25717.00,--,-1550.00,455.00,-1095.00,0.00,-1095.00,--,--,-1095.00,--,--,-1095.00,--,--,--,--,--,--,-0.03,
"2497","?ɧQ?q?l",1352766.00,958314.00,394452.00,--,--,394452.00,278640.00,--,115812.00,18906.00,134718.00,31588.00,103130.00,--,--,103130.00,18333.00,--,121463.00,103130.00,--,0.00,121463.00,--,0.00,0.87,
"2498","???F?q",113455432.00,88396606.00,25058826.00,--,--,25058826.00,23965577.00,--,1093249.00,534338.00,1627587.00,292950.00,1334637.00,--,--,1334637.00,1114824.00,--,2449461.00,1334637.00,--,0.00,2449461.00,--,0.00,1.60,
"2499","?F?????q",3803113.00,3082694.00,720419.00,4515.00,--,715904.00,529057.00,0.00,186847.00,27329.00,214176.00,13954.00,200222.00,--,--,200222.00,571437.00,--,771659.00,198246.00,--,1976.00,766687.00,--,4972.00,0.60,
"2501","????",5545956.00,3722001.00,1823955.00,--,--,1823955.00,498598.00,--,1325357.00,14583.00,1339940.00,62877.00,1277063.00,--,--,1277063.00,593656.00,--,1870719.00,1322404.00,--,-45341.00,1892402.00,--,-21683.00,0.80,
"2504","?겣",14180793.00,13377169.00,803624.00,--,--,803624.00,986388.00,--,-182764.00,250930.00,68166.00,18128.00,50038.00,--,--,50038.00,325844.00,--,375882.00,127906.00,--,-77868.00,439195.00,--,-63313.00,0.08,
"2505","?괭???~",4995271.00,4243380.00,751891.00,--,--,751891.00,263314.00,--,488577.00,-12866.00,475711.00,77176.00,398535.00,0.00,--,398535.00,18.00,--,398553.00,398535.00,--,0.00,398553.00,--,0.00,0.89,
"2506","?ӳ]",2131367.00,1304268.00,827099.00,--,--,827099.00,676065.00,--,151034.00,60443.00,211477.00,61723.00,149754.00,--,--,149754.00,40761.00,--,190515.00,102132.00,--,47622.00,142332.00,--,48183.00,0.27,
"2509","???[??",213515.00,123578.00,89937.00,--,--,89937.00,118943.00,--,-29006.00,-37481.00,-66487.00,14318.00,-80805.00,--,--,-80805.00,4528.00,--,-76277.00,-70699.00,--,-10106.00,-66171.00,--,-10106.00,-0.47,
"2511","?Ӥl",5327604.00,3657426.00,1670178.00,--,--,1670178.00,1471669.00,--,198509.00,-84711.00,113798.00,-2065.00,115863.00,--,--,115863.00,-67456.00,--,48407.00,119958.00,--,-4095.00,52502.00,--,-4095.00,0.10,
"2515","???u",6000716.00,5558370.00,442346.00,--,--,442346.00,352648.00,--,89698.00,-40352.00,49346.00,21073.00,28273.00,--,--,28273.00,-2243.00,--,26030.00,18474.00,--,9799.00,16977.00,--,9053.00,0.01,
"2516","?s??",4405492.00,4506541.00,-101049.00,--,--,-101049.00,79189.00,--,-180238.00,10813.00,-169425.00,16531.00,-185956.00,--,--,-185956.00,29611.00,--,-156345.00,-189750.00,--,3794.00,-162311.00,--,5966.00,-0.82,
"2520","?a?w",1729117.00,1223893.00,505224.00,--,--,505224.00,556695.00,--,-51471.00,398669.00,347198.00,101804.00,245394.00,--,--,245394.00,1021.00,--,246415.00,279607.00,--,-34213.00,280465.00,--,-34050.00,0.57,
"2524","?ʫ?",2291842.00,1256260.00,1035582.00,--,--,1035582.00,182260.00,--,853322.00,-15281.00,838041.00,177639.00,660402.00,--,--,660402.00,-629.00,--,659773.00,--,--,--,--,--,--,1.76,
"2527","???[",116619.00,80965.00,35654.00,--,--,35654.00,98379.00,--,-62725.00,-44133.00,-106858.00,14947.00,-121805.00,--,--,-121805.00,-2996.00,--,-124801.00,-118267.00,--,-3538.00,-121263.00,--,-3538.00,-0.45,
"2528","?Ӵ??س]",2634.00,1896.00,738.00,--,--,738.00,22852.00,--,-22114.00,-4080.00,-26194.00,44.00,-26238.00,--,--,-26238.00,--,--,-26238.00,--,--,--,--,--,--,-0.26,
"2530","?ث?",567705.00,382550.00,185155.00,0.00,0.00,185155.00,85521.00,--,99634.00,-18247.00,81387.00,12193.00,69194.00,--,--,69194.00,--,--,69194.00,75252.00,--,-6058.00,75252.00,--,-6058.00,0.28,
"2534","????",35927.00,15976.00,19951.00,--,--,19951.00,386771.00,--,-366820.00,-63093.00,-429913.00,7591.00,-437504.00,--,--,-437504.00,-86616.00,--,-524120.00,--,--,--,--,--,--,-0.74,
"2535","?F?u",7681225.00,6904631.00,776594.00,--,--,776594.00,309421.00,--,467173.00,15635.00,482808.00,93644.00,389164.00,--,--,389164.00,37235.00,--,426399.00,370600.00,--,18564.00,400590.00,--,25809.00,1.80,
"2536","?????س]",873238.00,537918.00,335320.00,--,--,335320.00,211880.00,--,123440.00,-78492.00,44948.00,55508.00,-10560.00,--,--,-10560.00,17379.00,--,6819.00,--,--,--,--,--,--,-0.03,
"2537","?p?W?}?o",1625243.00,1063461.00,561782.00,--,--,561782.00,164040.00,--,397742.00,-12671.00,385071.00,8898.00,376173.00,--,--,376173.00,--,--,376173.00,--,--,--,--,--,--,2.51,
"2538","?????س]",309487.00,281509.00,27978.00,--,--,27978.00,46620.00,--,-18642.00,125386.00,106744.00,13282.00,93462.00,--,--,93462.00,15661.00,--,109123.00,93462.00,--,0.00,109123.00,--,0.00,0.23,
"2539","?????س]",956703.00,622398.00,334305.00,--,--,334305.00,76989.00,--,257316.00,908.00,258224.00,16183.00,242041.00,--,--,242041.00,--,--,242041.00,--,--,--,--,--,--,1.46,
"2540","?R?s?L",284.00,176.00,108.00,--,--,108.00,8730.00,0.00,-8622.00,-2115.00,-10737.00,0.00,-10737.00,--,--,-10737.00,0.00,--,-10737.00,-10736.00,--,-1.00,-10736.00,--,-1.00,-1.09,
"2542","???I?o",19149086.00,11895598.00,7253488.00,--,--,7253488.00,1603788.00,--,5649700.00,-45973.00,5603727.00,1143219.00,4460508.00,--,--,4460508.00,5148.00,--,4465656.00,4466432.00,--,-5924.00,4471580.00,--,-5924.00,7.56,
"2543","?ө????y",1554045.00,1488967.00,65078.00,--,--,65078.00,67188.00,0.00,-2110.00,3812.00,1702.00,0.00,1702.00,--,--,1702.00,--,--,1702.00,4092.00,--,-2390.00,4092.00,--,-2390.00,0.02,
"2545","?ӵ?",3661352.00,1526045.00,2135307.00,--,--,2135307.00,461685.00,--,1673622.00,-62185.00,1611437.00,216472.00,1394965.00,--,--,1394965.00,0.00,--,1394965.00,1394571.00,--,394.00,1394571.00,--,394.00,4.26,
