???q?N??,???q?W??,???~???J,???~????,???~???Q?]???l?^,?????{?P?f?]?l?^?q,?w???{?P?f?]?l?^?q,???~???Q?]???l?^?b?B,???~?O??,???L???q?ζO?l?b?B,???~?Q?q?]?l???^,???~?~???J?Τ??X,?|?e?b?Q?]?b?l?^,?ұo?|?O?Ρ]?Q?q?^,?~?????~???쥻?��b?Q?]?b?l?^,???~?????l?q,?X?֫e?D?ݦ@?P???????v?l?q,???��b?Q?]?b?l?^,???L???X?l?q?]?b?B?^,?X?֫e?D?ݦ@?P???????v???X?l?q?b?B,???��??X?l?q?`?B,?b?Q?]?b?l?^?k?ݩ??��??q?~?D,?b?Q?]?b?l?^?k?ݩ??@?P?????U?e???v?q,?b?Q?]?b?l?^?k?ݩ??D?????v?q,???X?l?q?`?B?k?ݩ??��??q?~?D,???X?l?q?`?B?k?ݩ??@?P?????U?e???v?q,???X?l?q?`?B?k?ݩ??D?????v?q,?򥻨C?Ѭվl?]???^,
1902,?x??,6579073.00,6068995.00,510078.00,--,--,510078.00,628663.00,0.00,-118585.00,125092.00,6507.00,-27733.00,34240.00,--,--,34240.00,42720.00,--,76960.00,17356.00,--,16884.00,50726.00,--,26234.00,0.04,
1903,?h??,2012098.00,1938793.00,73305.00,--,--,73305.00,270907.00,--,-197602.00,26313.00,-171289.00,-1.00,-171288.00,--,--,-171288.00,-28742.00,--,-200030.00,-171288.00,--,0.00,-200030.00,--,0.00,-0.66,
1904,????,43763281.00,37093100.00,6670181.00,--,--,6670181.00,5015316.00,--,1654865.00,-211709.00,1443156.00,326661.00,1116495.00,--,--,1116495.00,867102.00,--,1983597.00,1201985.00,--,-85490.00,1762640.00,--,220957.00,1.12,
1905,?د?,20191763.00,19509728.00,682035.00,--,--,682035.00,1519795.00,14321.00,-823439.00,142261.00,-681178.00,1633.00,-682811.00,--,--,-682811.00,510724.00,--,-172087.00,-694096.00,--,11285.00,-318411.00,--,146324.00,-0.55,
1906,?_??,503879.00,424044.00,79835.00,--,--,79835.00,80149.00,--,-314.00,4633.00,4319.00,0.00,4319.00,--,--,4319.00,1037840.00,--,1042159.00,157.00,--,4162.00,965886.00,--,76273.00,0.00,
1907,???׾l,56733425.00,48759266.00,7974159.00,--,--,7974159.00,8058066.00,14321.00,-69586.00,1120372.00,1050786.00,482767.00,568019.00,--,--,568019.00,4108973.00,--,4676992.00,610546.00,--,-42527.00,4432951.00,--,244041.00,0.37,
1909,?a??,24306832.00,20092526.00,4214306.00,--,--,4214306.00,2559757.00,--,1654549.00,-319659.00,1334890.00,405663.00,929227.00,--,--,929227.00,1571742.00,--,2500969.00,847863.00,--,81364.00,2293474.00,--,207495.00,1.20,
2002,????,347828838.00,310548923.00,37279915.00,--,404495.00,37684410.00,13131460.00,--,24552950.00,-1343898.00,23209052.00,4854585.00,18354467.00,--,--,18354467.00,4003537.00,--,22358004.00,15981540.00,--,2372927.00,19506129.00,--,2851875.00,1.05,
2006,?F?M???K,35119213.00,31416143.00,3703070.00,--,--,3703070.00,1516227.00,--,2186843.00,236060.00,2422903.00,322753.00,2100150.00,--,--,2100150.00,252117.00,--,2352267.00,2117078.00,--,-16928.00,2368404.00,--,-16137.00,2.12,
2007,?M?????q,6036728.00,6436611.00,-399883.00,--,--,-399883.00,235721.00,--,-635604.00,-213976.00,-849580.00,-9538.00,-840042.00,--,--,-840042.00,11702.00,--,-828340.00,-840042.00,--,0.00,-828340.00,--,0.00,-1.33,
