公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1326,台化,312066891,294229519,17837372,--,--,17837372,10215407,--,7621965,13099987,20721952,1439969,19281983,--,--,19281983,1841679,--,21123662,16591471,--,2690512,19970939,--,1152723,2.84
1337,F-再生,4207379,2696062,1511317,--,--,1511317,343736,--,1167581,74111,1241692,324990,916702,--,--,916702,25206,--,941908,916702,--,--,941908,--,--,3.67
1338,F-廣華,6094019,4718689,1375330,--,--,1375330,748526,--,626804,-20878,605926,163502,442424,--,--,442424,56429,--,498853,441807,--,617,498039,--,814,5.5
1339,昭輝,1041561,660098,381463,--,--,381463,130542,--,250921,18976,269897,55859,214038,--,--,214038,-43,--,213995,--,--,--,--,--,--,3.25
1340,F-勝悅,2165835,1361639,804196,--,--,804196,91271,--,712925,73208,786133,124679,661454,--,--,661454,19758,--,681212,661454,--,--,681212,--,--,7.51
1402,遠東新,176220511,139301220,36919291,--,278,36919569,26033842,--,10885727,7019019,17904746,3311397,14593349,--,--,14593349,-60369,--,14532980,9198771,--,5394578,8619952,--,5913028,1.87
1410,南染,488822,338728,150094,--,--,150094,57816,--,92278,7941,100219,17105,83114,--,--,83114,-1268,--,81846,77640,--,5474,76372,--,5474,0.86
1413,宏洲化工,2712365,2785841,-73476,--,--,-73476,77419,--,-150895,-19236,-170131,1257,-171388,--,--,-171388,-17176,--,-188564,-172236,--,848,-183774,--,-4790,-1.71
1414,東和,989513,938971,50542,--,--,50542,48957,--,1585,15495,17080,-2491,19571,--,--,19571,-26416,--,-6845,--,--,--,--,--,--,0.08
1416,廣豐,151262,136265,14997,--,--,14997,154645,--,-139648,395992,256344,33884,222460,--,--,222460,26983,--,249443,225309,--,-2849,252292,--,-2849,0.83
1417,嘉裕,2392525,1760802,631723,--,--,631723,826890,--,-195167,199070,3903,-1366,5269,--,--,5269,439287,--,444556,5269,--,--,444556,--,--,0.01
1418,東華,1453659,1458329,-4670,--,--,-4670,123228,--,-127898,34358,-93540,2738,-96278,--,--,-96278,-31508,--,-127786,-96262,--,-16,-127770,--,-16,-0.8
1419,新紡,818612,618753,199859,0,0,199859,232117,--,-32258,177098,144840,1882,142958,0,--,142958,98563,--,241521,142958,--,--,241521,--,--,0.48
1423,利華羊毛,527226,547584,-20358,--,--,-20358,28997,--,-49355,3402,-45953,19173,-65126,--,--,-65126,21984,--,-43142,--,--,--,--,--,--,-0.37
1432,大魯閣,671845,628805,43040,--,--,43040,204746,--,-161706,109741,-51965,8982,-60947,--,--,-60947,10207,--,-50740,-61256,--,309,-51049,--,309,-0.37
1434,福懋興業,36829597,32514258,4315339,--,--,4315339,2145618,--,2169721,1143447,3313168,264493,3048675,--,--,3048675,-2583002,--,465673,2862142,--,186533,272418,--,193255,1.7
1435,中福國際,19783,2395,17388,--,--,17388,19627,--,-2239,3224,985,--,985,--,--,985,--,--,985,985,--,--,985,--,--,0
1436,華友聯,1370766,971145,399621,--,--,399621,109566,--,290055,4628,294683,7488,287195,--,--,287195,--,--,287195,--,--,--,--,--,--,4.79
1437,勤益投控,875459,696256,179203,--,--,179203,99906,--,79297,145719,225016,17773,207243,--,--,207243,4923,--,212166,206687,--,556,211312,--,854,1.02
1438,裕豐,641,120,521,0,0,521,6145,0,-5624,2521,-3103,-32,-3071,--,--,-3071,--,--,-3071,--,--,--,--,--,--,-0.03
1439,中和羊毛,295249,287627,7622,--,--,7622,21507,--,-13885,11801,-2084,-334,-1750,--,--,-1750,0,--,-1750,--,--,--,--,--,--,-0.02
1440,南紡,15282449,13990241,1292208,--,--,1292208,1058950,--,233258,235921,469179,125339,343840,--,--,343840,-609540,--,-265700,385764,--,-41924,-223760,--,-41940,0.24
1441,大東紡織,1122005,1135258,-13253,--,--,-13253,129239,--,-142492,33825,-108667,-1305,-107362,--,--,-107362,6288,--,-101074,-107362,--,--,-101074,--,--,-1.2
1442,名軒,879881,450985,428896,--,--,428896,125860,--,303036,25483,328519,57532,270987,--,--,270987,7952,--,278939,270987,--,0,278939,--,0,1.28
1443,立益紡織,1404219,1418271,-14052,--,--,-14052,117778,--,-131830,-221222,-353052,7,-353059,--,--,-353059,-8782,--,-361841,-284993,--,-68066,-292839,--,-69002,-2.11
1444,力麗,8653646,8309765,343881,0,323,344204,406144,--,-61940,264355,202415,38329,164086,--,--,164086,-204537,--,-40451,149251,--,14835,-43012,--,2561,0.16
1445,大宇紡織,1403473,1304174,99299,0,0,99299,91676,--,7623,14919,22542,550,21992,--,--,21992,-4507,--,17485,21992,--,--,17485,--,--,0.16
1446,宏和,605147,465064,140083,--,--,140083,126618,--,13465,10677,24142,6309,17833,--,--,17833,-5272,--,12561,17833,--,--,12561,--,--,0.13
1447,力鵬,17322933,16534195,788738,--,--,788738,537521,--,251217,193981,445198,69500,375698,--,--,375698,-281280,--,94418,377048,--,-1350,23854,--,70564,0.46
1449,佳和實業,2614055,2558341,55714,--,--,55714,287494,--,-231780,44996,-186784,8748,-195532,--,--,-195532,169800,--,-25732,-182222,--,-13310,-12473,--,-13259,-1.63
