公司代號,公司名稱,"營業收入","營業成本","營業毛利（毛損）","未實現銷貨（損）益","已實現銷貨（損）益","營業毛利（毛損）淨額","營業費用","其他收益及費損淨額","營業利益（損失）","營業外收入及支出","稅前淨利（淨損）","所得稅費用（利益）","繼續營業單位本期淨利（淨損）","停業單位損益","合併前非屬共同控制股權損益","本期淨利（淨損）","其他綜合損益（淨額）","合併前非屬共同控制股權綜合損益淨額","本期綜合損益總額","淨利（淨損）歸屬於母公司業主","淨利（淨損）歸屬於共同控制下前手權益","淨利（淨損）歸屬於非控制權益","綜合損益總額歸屬於母公司業主","綜合損益總額歸屬於共同控制下前手權益","綜合損益總額歸屬於非控制權益","基本每股盈餘（元）",
"2231","為升",1063604.00,608452.00,455152.00,--,--,455152.00,178446.00,--,276706.00,11933.00,288639.00,40942.00,247697.00,--,--,247697.00,10726.00,--,258423.00,245333.00,--,2364.00,255601.00,--,2822.00,4.05,
"2301","光寶科技",153855191.00,131225579.00,22629612.00,--,--,22629612.00,15204661.00,--,7424951.00,804939.00,8229890.00,1796503.00,6433387.00,--,--,6433387.00,2233975.00,--,8667362.00,6235935.00,--,197452.00,8191070.00,--,476292.00,2.73,
"2302","麗正",474172.00,385290.00,88882.00,0.00,0.00,88882.00,124737.00,0.00,-35855.00,20734.00,-15121.00,203.00,-15324.00,--,--,-15324.00,23739.00,--,8415.00,-15324.00,--,--,8415.00,--,--,-0.10,
"2303","聯電",93092892.00,75087175.00,18005717.00,0.00,0.00,18005717.00,14088562.00,-78915.00,3838240.00,9441047.00,13279287.00,1761859.00,11517428.00,--,--,11517428.00,-356019.00,--,11161409.00,11880800.00,--,-363372.00,11533563.00,--,-372154.00,0.95,
"2305","全友電腦",518557.00,322491.00,196066.00,--,--,196066.00,289654.00,--,-93588.00,54558.00,-39030.00,9811.00,-48841.00,--,--,-48841.00,44944.00,--,-3897.00,-42833.00,--,-6008.00,559.00,--,-4456.00,-0.21,
"2308","台達電",128415166.00,96058736.00,32356430.00,--,--,32356430.00,18575001.00,--,13781429.00,2272571.00,16054000.00,2392803.00,13661197.00,119628.00,--,13780825.00,2750192.00,--,16531017.00,13045009.00,--,735816.00,15353847.00,--,1177170.00,5.38,
"2311","日月光",155698044.00,125394537.00,30303507.00,--,--,30303507.00,15198996.00,--,15104511.00,-1539714.00,13564797.00,2751427.00,10813370.00,--,--,10813370.00,2128146.00,--,12941516.00,10481477.00,--,331893.00,12518522.00,--,422994.00,1.40,
"2312","金寶電子",33723020.00,31332680.00,2390340.00,--,--,2390340.00,1265021.00,--,1125319.00,-5185177.00,-4059858.00,160650.00,-4220508.00,--,--,-4220508.00,546221.00,--,-3674287.00,-4243347.00,--,22839.00,-3705889.00,--,31602.00,-3.23,
"2313","華通",22122971.00,18931340.00,3191631.00,--,--,3191631.00,1281575.00,-13761.00,1896295.00,-165260.00,1731035.00,555160.00,1175875.00,--,--,1175875.00,353322.00,--,1529197.00,1175875.00,--,--,1529197.00,--,--,0.99,
"2314","台揚科技",5111027.00,4678707.00,432320.00,--,--,432320.00,1044441.00,--,-612121.00,64407.00,-547714.00,21049.00,-568763.00,--,--,-568763.00,37122.00,--,-531641.00,-568309.00,--,-454.00,-531280.00,--,-361.00,-1.42,
"2316","楠梓電",4438363.00,4034342.00,404021.00,--,--,404021.00,355265.00,--,48756.00,221634.00,270390.00,53632.00,216758.00,--,--,216758.00,224370.00,--,441128.00,216758.00,--,--,441128.00,--,--,0.68,
"2317","鴻海",2623930666.00,2461084857.00,162845809.00,--,--,162845809.00,98489499.00,--,64356310.00,19544351.00,83900661.00,19898626.00,64002035.00,--,--,64002035.00,17731811.00,--,81733846.00,64083590.00,--,-81555.00,80861513.00,--,872333.00,4.91,
"2321","東訊",5498857.00,5003149.00,495708.00,--,--,495708.00,465425.00,--,30283.00,5093.00,35376.00,--,35376.00,--,--,35376.00,18854.00,--,54230.00,14721.00,--,20655.00,33575.00,--,20655.00,0.05,
"2323","中環",11689643.00,11759461.00,-69818.00,--,--,-69818.00,1586952.00,--,-1656770.00,-111256.00,-1768026.00,15410.00,-1783436.00,--,--,-1783436.00,163829.00,--,-1619607.00,-1724621.00,--,-58815.00,-1560792.00,--,-58815.00,-0.64,
"2324","仁寶電腦",499284191.00,478855141.00,20429050.00,--,--,20429050.00,13656480.00,--,6772570.00,-5813071.00,959499.00,633717.00,325782.00,--,--,325782.00,1435512.00,--,1761294.00,21134.00,--,304648.00,1436857.00,--,324437.00,0.00,
"2325","矽品",50512427.00,40402959.00,10109468.00,140.00,--,10109328.00,4818221.00,--,5291107.00,-630652.00,4660455.00,1027704.00,3632751.00,--,--,3632751.00,1215705.00,--,4848456.00,3632751.00,--,0.00,4848456.00,--,0.00,1.17,
"2327","國巨",18914448.00,14490434.00,4424014.00,--,--,4424014.00,2099193.00,--,2324821.00,-822143.00,1502678.00,465363.00,1037315.00,--,--,1037315.00,1126424.00,--,2163739.00,1024722.00,--,12593.00,2149019.00,--,14720.00,0.50,
"2328","廣宇",10752981.00,9690063.00,1062918.00,--,--,1062918.00,873686.00,--,189232.00,262824.00,452056.00,183165.00,268891.00,--,--,268891.00,-8903.00,--,259988.00,162007.00,--,106884.00,203283.00,--,56705.00,0.31,
"2329","華泰電子",6999483.00,6403620.00,595863.00,0.00,3612.00,599475.00,656116.00,--,-56641.00,-80960.00,-137601.00,71579.00,-209180.00,-71731.00,--,-280911.00,14025.00,--,-266886.00,-289166.00,--,8255.00,-275141.00,--,8255.00,-0.36,
"2330","台積電",451218350.00,235092710.00,216125640.00,--,-42833.00,216082807.00,54428670.00,21008.00,161675145.00,3439332.00,165114477.00,21882679.00,143231798.00,--,--,143231798.00,17550749.00,--,160782547.00,143336544.00,--,-104746.00,160893697.00,--,-111150.00,5.53,
"2331","精英",46302200.00,42179338.00,4122862.00,--,--,4122862.00,3118579.00,--,1004283.00,275332.00,1279615.00,282629.00,996986.00,--,--,996986.00,275298.00,--,1272284.00,1072981.00,--,-75995.00,1338687.00,--,-66403.00,0.92,
"2332","友訊科技",22605739.00,16549234.00,6056505.00,--,--,6056505.00,5817612.00,--,238893.00,236944.00,475837.00,113747.00,362090.00,--,--,362090.00,28858.00,--,390948.00,346515.00,--,15575.00,393926.00,--,-2978.00,0.57,
"2337","旺宏",16344057.00,15072761.00,1271296.00,--,--,1271296.00,6159595.00,--,-4888299.00,44660.00,-4843639.00,2886.00,-4846525.00,--,--,-4846525.00,-28748.00,--,-4875273.00,-4804846.00,--,-41679.00,-4833707.00,--,-41566.00,-1.37,
"2338","光罩",1312417.00,1108779.00,203638.00,--,--,203638.00,197274.00,--,6364.00,34332.00,40696.00,6093.00,34603.00,--,--,34603.00,-35664.00,--,-1061.00,8090.00,--,26513.00,-5230.00,--,4169.00,0.03,
"2340","光磊",4832352.00,3776849.00,1055503.00,--,--,1055503.00,703198.00,--,352305.00,40150.00,392455.00,70427.00,322028.00,--,--,322028.00,38744.00,--,360772.00,322036.00,--,-8.00,360777.00,--,-5.00,0.59,
"2342","茂矽",1296131.00,1902456.00,-606325.00,--,--,-606325.00,212533.00,--,-818858.00,-62164.00,-881022.00,7021.00,-888043.00,--,--,-888043.00,179863.00,--,-708180.00,-882455.00,--,-5588.00,-703741.00,--,-4439.00,-2.37,
"2344","華邦電",24830092.00,19696397.00,5133695.00,--,--,5133695.00,4568904.00,--,564791.00,-102499.00,462292.00,246686.00,215606.00,--,--,215606.00,1718294.00,--,1933900.00,144278.00,--,71328.00,1847794.00,--,86106.00,0.04,
"2345","智邦科技",16622006.00,13955434.00,2666572.00,--,0.00,2666572.00,2421649.00,--,244923.00,251143.00,496066.00,96397.00,399669.00,--,--,399669.00,53626.00,--,453295.00,400758.00,--,-1089.00,454485.00,--,-1190.00,0.77,
"2347","聯強國際",238168513.00,230051228.00,8117285.00,--,--,8117285.00,5468665.00,--,2648620.00,2087598.00,4736218.00,706978.00,4029240.00,--,--,4029240.00,-531064.00,--,3498176.00,3931806.00,--,97434.00,3560325.00,--,-62149.00,2.48,
"2348","海悅",411731.00,193315.00,218416.00,--,--,218416.00,63748.00,--,154668.00,-1829.00,152839.00,0.00,152839.00,--,--,152839.00,0.00,--,152839.00,152879.00,--,-40.00,152879.00,--,-40.00,1.93,
"2349","錸德科技",11116995.00,11400296.00,-283301.00,--,--,-283301.00,1577091.00,--,-1860392.00,-104074.00,-1964466.00,61136.00,-2025602.00,--,--,-2025602.00,159630.00,--,-1865972.00,-1882167.00,--,-143435.00,-1750343.00,--,-115629.00,-0.73,
"2351","順德",6933339.00,5879279.00,1054060.00,--,--,1054060.00,533568.00,--,520492.00,15867.00,536359.00,109801.00,426558.00,--,--,426558.00,53703.00,--,480261.00,368099.00,--,58459.00,421802.00,--,58459.00,2.04,
"2352","佳世達",86864897.00,77901841.00,8963056.00,--,--,8963056.00,8263546.00,0.00,699510.00,165555.00,865065.00,306300.00,558765.00,--,--,558765.00,1321502.00,--,1880267.00,69039.00,--,489726.00,1323244.00,--,557023.00,0.04,
"2353","宏碁",273496296.00,251912467.00,21583829.00,--,--,21583829.00,24858793.00,120728.00,-3154236.00,-9554610.00,-12708846.00,239680.00,-12948526.00,--,--,-12948526.00,1310669.00,--,-11637857.00,-12948612.00,--,86.00,-11637925.00,--,68.00,-4.76,
"2354","鴻準",64405587.00,56657724.00,7747863.00,--,--,7747863.00,3391792.00,--,4356071.00,767845.00,5123916.00,1026923.00,4096993.00,--,--,4096993.00,1676435.00,--,5773428.00,4116645.00,--,-19652.00,5790652.00,--,-17224.00,3.16,
"2355","敬鵬",14420740.00,12143627.00,2277113.00,--,--,2277113.00,908141.00,--,1368972.00,374729.00,1743701.00,410635.00,1333066.00,--,--,1333066.00,162819.00,--,1495885.00,1310613.00,--,22453.00,1471459.00,--,24426.00,3.30,
"2356","英業達",326461341.00,310161436.00,16299905.00,--,--,16299905.00,11155245.00,--,5144660.00,1599756.00,6744416.00,1922890.00,4821526.00,--,--,4821526.00,597718.00,--,5419244.00,5290017.00,--,-468491.00,5894786.00,--,-475542.00,1.47,
"2357","華碩",332582478.00,289183979.00,43398499.00,--,--,43398499.00,29049173.00,--,14349326.00,5348662.00,19697988.00,3870732.00,15827256.00,--,--,15827256.00,2229230.00,--,18056486.00,15758528.00,--,68728.00,17980472.00,--,76014.00,21.00,
"2358","廷鑫",1167538.00,1170145.00,-2607.00,--,--,-2607.00,55071.00,--,-57678.00,13098.00,-44580.00,20382.00,-64962.00,--,--,-64962.00,-6.00,--,-64968.00,-64962.00,--,--,-64968.00,--,--,-0.76,
"2359","所羅門",4370077.00,3743876.00,626201.00,--,--,626201.00,493918.00,--,132283.00,15937.00,148220.00,64327.00,83893.00,--,--,83893.00,129000.00,--,212893.00,73988.00,--,9905.00,196111.00,--,16782.00,0.40,
"2360","致茂電子",7738708.00,4866140.00,2872568.00,--,--,2872568.00,1942446.00,--,930122.00,140606.00,1070728.00,156088.00,914640.00,--,--,914640.00,176350.00,--,1090990.00,922718.00,--,-8078.00,1098559.00,--,-7569.00,2.46,
"2361","鴻友科技",198636.00,155293.00,43343.00,0.00,0.00,43343.00,133337.00,--,-89994.00,46536.00,-43458.00,-11.00,-43447.00,0.00,--,-43447.00,-28611.00,--,-72058.00,-43447.00,--,0.00,-72058.00,--,0.00,-0.60,
"2362","藍天",13108420.00,8775605.00,4332815.00,--,--,4332815.00,2898949.00,--,1433866.00,1718204.00,3152070.00,614196.00,2537874.00,--,--,2537874.00,598603.00,--,3136477.00,2537874.00,--,--,3136477.00,--,--,3.87,
"2363","矽統科技",355487.00,289064.00,66423.00,--,--,66423.00,353617.00,--,-287194.00,108292.00,-178902.00,141.00,-179043.00,--,--,-179043.00,320362.00,--,141319.00,-179043.00,--,0.00,141319.00,--,0.00,-0.29,
"2364","倫飛電腦",685440.00,563499.00,121941.00,--,--,121941.00,292830.00,--,-170889.00,24714.00,-146175.00,659.00,-146834.00,--,--,-146834.00,8221.00,--,-138613.00,-146834.00,--,0.00,-138613.00,--,0.00,-0.80,
